ensgid	gene_name	hg38_chr	hg38_start0	hg38_end	hg38_strand	hg19_chr	hg19_start0	hg19_end	hg19_strand
ENSG00000101441	CST4	chr20	23685639	23689038	-	chr20	23666276	23669675	-
ENSG00000170373	CST1	chr20	23747561	23751268	-	chr20	23728198	23731905	-
ENSG00000170369	CST2	chr20	23823768	23826729	-	chr20	23804405	23807366	-
ENSG00000170367	CST5	chr20	23875933	23880081	-	chr20	23856570	23860718	-
ENSG00000149435	GGTLC1	chr20	23985049	23988779	-	chr20	23965686	23969416	-
ENSG00000101463	SYNDIG1	chr20	24468024	24666616	+	chr20	24448660	24647252	+
ENSG00000077984	CST7	chr20	24949268	24959928	+	chr20	24929904	24940564	+
ENSG00000101474	APMAP	chr20	24962924	24992782	-	chr20	24943560	24973418	-
ENSG00000154930	ACSS1	chr20	25006229	25058980	-	chr20	24986865	25039616	-
ENSG00000100987	VSX1	chr20	25070884	25082141	-	chr20	25051520	25062777	-
ENSG00000197586	ENTPD6	chr20	25195692	25228075	+	chr20	25176328	25208711	+
ENSG00000100994	PYGB	chr20	25248029	25298014	+	chr20	25228665	25278650	+
ENSG00000100997	ABHD12	chr20	25294741	25390866	-	chr20	25275377	25371502	-
ENSG00000101003	GINS1	chr20	25391007	25452700	+	chr20	25371643	25433336	+
ENSG00000101004	NINL	chr20	25451593	25585586	-	chr20	25432229	25566222	-
ENSG00000170191	NANP	chr20	25612934	25624014	-	chr20	25593570	25604650	-
ENSG00000130684	ZNF337	chr20	25673194	25696860	-	chr20	25653830	25677496	-
ENSG00000215547	DEFB115	chr20	31257663	31259632	+	chr20	29845466	29847435	+
ENSG00000215545	DEFB116	chr20	31303211	31308585	-	chr20	29891014	29896388	-
ENSG00000131068	DEFB118	chr20	31368600	31373923	+	chr20	29956403	29961726	+
ENSG00000180483	DEFB119	chr20	31377163	31390590	-	chr20	29964966	29978393	-
ENSG00000204548	DEFB121	chr20	31404844	31412838	-	chr20	29992647	30000641	-
ENSG00000180424	DEFB123	chr20	31440631	31450257	+	chr20	30028434	30038060	+
ENSG00000180383	DEFB124	chr20	31465470	31476757	-	chr20	30053273	30064560	-
ENSG00000088320	REM1	chr20	31474978	31484917	+	chr20	30062781	30072720	+
ENSG00000101294	HM13	chr20	31514369	31577923	+	chr20	30102172	30165726	+
ENSG00000101898	MCTS2	chr20	31547378	31569541	+	chr20	30135181	30157344	+
ENSG00000125968	ID1	chr20	31573013	31606515	+	chr20	30160816	30194318	+
ENSG00000131055	COX4I2	chr20	31637874	31645027	+	chr20	30225677	30232830	+
ENSG00000171552	BCL2L1	chr20	31664451	31723989	-	chr20	30252254	30311792	-
ENSG00000088325	TPX2	chr20	31739247	31801805	+	chr20	30327050	30389608	+
ENSG00000101306	MYLK2	chr20	31819286	31834689	+	chr20	30407089	30422492	+
ENSG00000179772	FOXS1	chr20	31844302	31845604	-	chr20	30432105	30433407	-
ENSG00000149599	DUSP15	chr20	31847636	31870664	-	chr20	30435439	30458467	-
ENSG00000131044	TTLL9	chr20	31870633	31945000	+	chr20	30458436	30532803	+
ENSG00000088356	PDRG1	chr20	31944336	31952069	-	chr20	30532139	30539872	-
ENSG00000260903	XKR7	chr20	31968150	32003387	+	chr20	30555953	30591190	+
ENSG00000101331	CCM2L	chr20	32010407	32032185	+	chr20	30598210	30619988	+
ENSG00000101336	HCK	chr20	32052196	32101856	+	chr20	30639999	30689659	+
ENSG00000101337	TM9SF4	chr20	32109713	32167258	+	chr20	30697516	30755061	+
ENSG00000126003	PLAGL2	chr20	32192503	32207743	-	chr20	30780306	30795546	-
ENSG00000101346	POFUT1	chr20	32207850	32238658	+	chr20	30795653	30826461	+
ENSG00000101350	KIF3B	chr20	32277650	32335011	+	chr20	30865453	30922814	+
ENSG00000171456	ASXL1	chr20	32358265	32439319	+	chr20	30946068	31027122	+
ENSG00000197183	NOL4L	chr20	32443058	32585333	-	chr20	31030861	31173135	-
ENSG00000198547	C20orf203	chr20	32631624	32673941	-	chr20	31219426	31261743	-
ENSG00000149600	COMMD7	chr20	32702647	32743928	-	chr20	31290449	31331734	-
ENSG00000088305	DNMT3B	chr20	32762384	32809359	+	chr20	31350190	31397165	+
ENSG00000101367	MAPRE1	chr20	32819768	32856284	+	chr20	31407574	31444090	+
ENSG00000215529	EFCAB8	chr20	32858922	32961845	+	chr20	31446728	31549651	+
ENSG00000167098	SUN5	chr20	32983772	33004433	-	chr20	31571578	31592239	-
ENSG00000078898	BPIFB2	chr20	33007703	33023709	+	chr20	31595509	31611515	+
ENSG00000167104	BPIFB6	chr20	33029188	33044230	+	chr20	31616994	31632036	+
ENSG00000186190	BPIFB3	chr20	33053902	33073847	+	chr20	31641708	31661653	+
ENSG00000186191	BPIFB4	chr20	33079642	33111751	+	chr20	31667448	31699557	+
ENSG00000131050	BPIFA2	chr20	33161767	33181412	+	chr20	31749573	31769218	+
ENSG00000131059	BPIFA3	chr20	33217309	33227806	+	chr20	31805115	31815612	+
ENSG00000198183	BPIFA1	chr20	33235994	33243311	+	chr20	31823800	31831117	+
ENSG00000125999	BPIFB1	chr20	33273479	33310380	+	chr20	31861285	31898186	+
ENSG00000101391	CDK5RAP1	chr20	33358436	33401561	-	chr20	31946242	31989367	-
ENSG00000101400	SNTA1	chr20	33407954	33443885	-	chr20	31995760	32031691	-
ENSG00000078699	CBFA2T2	chr20	33490074	33650036	+	chr20	32077880	32237842	+
ENSG00000125967	NECAB3	chr20	33657086	33674463	-	chr20	32244892	32262269	-
ENSG00000149609	C20orf144	chr20	33662326	33665619	+	chr20	32250132	32253425	+
ENSG00000288649	ACTL10	chr20	33666942	33668525	+	chr20	32254748	32256331	+
ENSG00000101412	E2F1	chr20	33675476	33686385	-	chr20	32263282	32274191	-
ENSG00000101417	PXMP4	chr20	33702757	33720319	-	chr20	32290563	32308125	-
ENSG00000131061	ZNF341	chr20	33731656	33792269	+	chr20	32319462	32380075	+
ENSG00000101421	CHMP4B	chr20	33811344	33854366	+	chr20	32399150	32442172	+
ENSG00000125970	RALY	chr20	33993631	34108308	+	chr20	32581437	32696114	+
ENSG00000125977	EIF2S2	chr20	34088308	34112279	-	chr20	32676114	32700085	-
ENSG00000101440	ASIP	chr20	34194568	34269346	+	chr20	32782374	32857152	+
ENSG00000101444	AHCY	chr20	34280267	34311802	-	chr20	32868073	32899608	-
ENSG00000078747	ITCH	chr20	34363234	34511773	+	chr20	32951040	33099578	+
ENSG00000125971	DYNLRB1	chr20	34516378	34540958	+	chr20	33104183	33128762	+
ENSG00000101460	MAP1LC3A	chr20	34546837	34560357	+	chr20	33134641	33148161	+
ENSG00000101464	PIGU	chr20	34560541	34698790	-	chr20	33148345	33286594	-
ENSG00000198646	NCOA6	chr20	34689096	34825739	-	chr20	33276900	33413542	-
ENSG00000078804	TP53INP2	chr20	34701661	34713439	+	chr20	33289465	33301243	+
ENSG00000131067	GGT7	chr20	34844713	34872868	-	chr20	33432516	33460671	-
ENSG00000131069	ACSS2	chr20	34872145	34927962	+	chr20	33459948	33515765	+
ENSG00000100983	GSS	chr20	34928431	34956027	-	chr20	33516234	33543830	-
ENSG00000078814	MYH7B	chr20	34955809	35002437	+	chr20	33543612	33590240	+
ENSG00000100991	TRPC4AP	chr20	34995208	35092868	-	chr20	33583011	33680671	-
ENSG00000088298	EDEM2	chr20	35115359	35147358	-	chr20	33703162	33735161	-
ENSG00000101000	PROCR	chr20	35171849	35216240	+	chr20	33759652	33804043	+
ENSG00000126005	MMP24OS	chr20	35201744	35278131	-	chr20	33789547	33865934	-
ENSG00000125966	MMP24	chr20	35226558	35276998	+	chr20	33814361	33864801	+
ENSG00000242372	EIF6	chr20	35278905	35284985	-	chr20	33866708	33872788	-
ENSG00000125998	FAM83C	chr20	35285730	35292425	-	chr20	33873533	33880228	-
ENSG00000101019	UQCC1	chr20	35302565	35412070	-	chr20	33890368	33999873	-
ENSG00000125965	GDF5	chr20	35433346	35454746	-	chr20	34021144	34042568	-
ENSG00000126001	CEP250	chr20	35455163	35519280	+	chr20	34042984	34107108	+
ENSG00000125975	C20orf173	chr20	35523185	35529652	-	chr20	34111013	34117481	-
ENSG00000125991	ERGIC3	chr20	35542023	35557634	+	chr20	34129772	34145405	+
ENSG00000061656	SPAG4	chr20	35615828	35621613	+	chr20	34203750	34209535	+
ENSG00000214078	CPNE1	chr20	35626030	35664956	-	chr20	34213952	34252878	-
ENSG00000244462	RBM12	chr20	35648924	35664956	-	chr20	34236846	34252878	-
ENSG00000244005	NFS1	chr20	35668051	35699373	-	chr20	34255973	34287295	-
ENSG00000125995	ROMO1	chr20	35699253	35700984	+	chr20	34287175	34288906	+
ENSG00000131051	RBM39	chr20	35701346	35742312	-	chr20	34289268	34330234	-
ENSG00000025293	PHF20	chr20	35771967	35950385	+	chr20	34359889	34538307	+
ENSG00000171222	SCAND1	chr20	35953616	35959472	-	chr20	34541538	34547394	-
ENSG00000149646	CNBD2	chr20	35954563	36030700	+	chr20	34542485	34618622	+
ENSG00000088367	EPB41L1	chr20	36091503	36232799	+	chr20	34679425	34820721	+
ENSG00000131043	AAR2	chr20	36236130	36270918	+	chr20	34824052	34858840	+
ENSG00000080845	DLGAP4	chr20	36306301	36528637	+	chr20	34894223	35157040	+
ENSG00000101335	MYL9	chr20	36541489	36551447	+	chr20	35169892	35179850	+
ENSG00000118707	TGIF2	chr20	36571893	36593950	+	chr20	35200296	35222353	+
ENSG00000101084	RAB5IF	chr20	36605778	36612557	+	chr20	35234181	35240960	+
ENSG00000101082	SLA2	chr20	36612317	36646205	-	chr20	35240720	35274608	-
ENSG00000101079	NDRG3	chr20	36651765	36746128	-	chr20	35280168	35374531	-
ENSG00000149636	DSN1	chr20	36751790	36774298	-	chr20	35380193	35402701	-
ENSG00000149639	MTCL2	chr20	36777446	36863538	-	chr20	35405849	35491941	-
ENSG00000101342	TLDC2	chr20	36873060	36894237	+	chr20	35501463	35522640	+
ENSG00000101347	SAMHD1	chr20	36890228	36951893	-	chr20	35518631	35580296	-
ENSG00000080839	RBL1	chr20	36996348	37095999	-	chr20	35624751	35724402	-
ENSG00000101353	MROH8	chr20	37101225	37179588	-	chr20	35729628	35807991	-
ENSG00000118705	RPN2	chr20	37178395	37241624	+	chr20	35806798	35870027	+
ENSG00000118702	GHRH	chr20	37251085	37261819	-	chr20	35879488	35890222	-
ENSG00000101363	MANBAL	chr20	37289558	37317260	+	chr20	35917961	35945663	+
ENSG00000197122	SRC	chr20	37344672	37406050	+	chr20	35973075	36034453	+
ENSG00000166619	BLCAP	chr20	37492471	37528100	-	chr20	36120873	36156502	-
ENSG00000053438	NNAT	chr20	37521205	37523690	+	chr20	36149607	36152092	+
ENSG00000132792	CTNNBL1	chr20	37694029	37872129	+	chr20	36322431	36500531	+
ENSG00000132821	VSTM2L	chr20	37903110	37945350	+	chr20	36531512	36573752	+
ENSG00000101407	TTI1	chr20	37983006	38033461	-	chr20	36611408	36661863	-
ENSG00000101413	RPRD1B	chr20	38033543	38127780	+	chr20	36661945	36756182	+
ENSG00000198959	TGM2	chr20	38127384	38168463	-	chr20	36755786	36796865	-
ENSG00000149633	KIAA1755	chr20	38210502	38261039	-	chr20	36838904	36889441	-
ENSG00000101425	BPI	chr20	38260140	38337505	+	chr20	36888542	36965907	+
ENSG00000129988	LBP	chr20	38346481	38377511	+	chr20	36974884	37006153	+
ENSG00000170471	RALGAPB	chr20	38472815	38578859	+	chr20	37101458	37207502	+
ENSG00000182035	ADIG	chr20	38581194	38588463	+	chr20	37209837	37217106	+
ENSG00000124143	ARHGAP40	chr20	38601774	38651035	+	chr20	37230417	37279678	+
ENSG00000101438	SLC32A1	chr20	38724485	38729372	+	chr20	37353128	37358015	+
ENSG00000101442	ACTR5	chr20	38748456	38772520	+	chr20	37377099	37401163	+
ENSG00000101445	PPP1R16B	chr20	38804914	38923025	+	chr20	37433557	37551668	+
ENSG00000101447	FAM83D	chr20	38926311	38953106	+	chr20	37554954	37581749	+
ENSG00000101452	DHX35	chr20	38962298	39039723	+	chr20	37590941	37668366	+
ENSG00000204103	MAFB	chr20	40685847	40689236	-	chr20	39314487	39317876	-
ENSG00000198900	TOP1	chr20	41028821	41124487	+	chr20	39657461	39753127	+
ENSG00000124181	PLCG1	chr20	41136930	41196801	+	chr20	39765570	39825441	+
ENSG00000174306	ZHX3	chr20	41178447	41317731	-	chr20	39807087	39946371	-
ENSG00000132793	LPIN3	chr20	41340785	41360583	+	chr20	39969425	39989223	+
ENSG00000183798	EMILIN3	chr20	41359961	41366818	-	chr20	39988601	39995458	-
ENSG00000124177	CHD6	chr20	41402082	41618449	-	chr20	40030722	40247088	-
ENSG00000196090	PTPRT	chr20	42072751	43189970	-	chr20	40701391	41818610	-
ENSG00000124193	SRSF6	chr20	43457892	43466046	+	chr20	42086532	42094686	+
ENSG00000185513	L3MBTL1	chr20	43489441	43550954	+	chr20	42118081	42179594	+
ENSG00000101049	SGK2	chr20	43558967	43588237	+	chr20	42187607	42216877	+
ENSG00000101052	IFT52	chr20	43590924	43647299	+	chr20	42219564	42275939	+
ENSG00000101057	MYBL2	chr20	43667018	43716495	+	chr20	42295658	42345135	+
ENSG00000124196	GTSF1L	chr20	43726163	43727002	-	chr20	42354803	42355642	-
ENSG00000124191	TOX2	chr20	43914843	44069616	+	chr20	42543483	42698256	+
ENSG00000149596	JPH2	chr20	44106589	44189032	-	chr20	42735229	42817672	-
ENSG00000132823	OSER1	chr20	44195938	44210872	-	chr20	42824578	42839512	-
ENSG00000124194	GDAP1L1	chr20	44247098	44280947	+	chr20	42875738	42909587	+
ENSG00000197296	FITM2	chr20	44302839	44311202	-	chr20	42931479	42939842	-
ENSG00000101074	R3HDML	chr20	44337042	44351238	+	chr20	42965682	42979878	+
ENSG00000101076	HNF4A	chr20	44355698	44432845	+	chr20	42984338	43061485	+
ENSG00000124120	TTPAL	chr20	44470526	44494604	+	chr20	43099166	43123245	+
ENSG00000132824	SERINC3	chr20	44496220	44522094	-	chr20	43124861	43150735	-
ENSG00000168734	PKIG	chr20	44531761	44624247	+	chr20	43160402	43252888	+
ENSG00000196839	ADA	chr20	44584895	44652252	-	chr20	43213536	43280893	-
ENSG00000064205	CCN5	chr20	44714269	44728509	+	chr20	43342910	43357150	+
ENSG00000124249	KCNK15	chr20	44745864	44752313	+	chr20	43374505	43380954	+
ENSG00000101098	RIMS4	chr20	44751807	44810546	-	chr20	43380448	43439187	-
ENSG00000166913	YWHAB	chr20	44885675	44908532	+	chr20	43514316	43537173	+
ENSG00000101104	PABPC1L	chr20	44910059	44959035	+	chr20	43538700	43587676	+
ENSG00000025772	TOMM34	chr20	44942129	44960422	-	chr20	43570770	43589063	-
ENSG00000101109	STK4	chr20	44966493	45084214	+	chr20	43595134	43712855	+
ENSG00000124134	KCNS1	chr20	45091213	45101127	-	chr20	43719854	43729768	-
ENSG00000175121	WFDC5	chr20	45109451	45115174	-	chr20	43738092	43743815	-
ENSG00000168703	WFDC12	chr20	45123424	45124465	-	chr20	43752065	43753106	-
ENSG00000124102	PI3	chr20	45174901	45176544	+	chr20	43803542	43805185	+
ENSG00000124233	SEMG1	chr20	45207032	45210605	+	chr20	43835673	43839246	+
ENSG00000124157	SEMG2	chr20	45221372	45224458	+	chr20	43850013	43853099	+
ENSG00000124107	SLPI	chr20	45252238	45254564	-	chr20	43880879	43883205	-
ENSG00000124159	MATN4	chr20	45293444	45312469	-	chr20	43922084	43941109	-
ENSG00000124232	RBPJL	chr20	45306839	45317824	+	chr20	43935479	43946464	+
ENSG00000124145	SDC4	chr20	45325287	45348425	-	chr20	43953927	43977065	-
ENSG00000204070	SYS1	chr20	45359976	45376798	+	chr20	43988616	44005438	+
ENSG00000124251	TP53TG5	chr20	45372556	45407889	-	chr20	44001196	44036529	-
ENSG00000244274	DBNDD2	chr20	45405615	45410870	+	chr20	44034255	44039510	+
ENSG00000124155	PIGT	chr20	45416083	45456934	+	chr20	44044723	44085574	+
ENSG00000101443	WFDC2	chr20	45469385	45481533	+	chr20	44098025	44110173	+
ENSG00000101446	SPINT3	chr20	45512460	45515622	-	chr20	44141100	44144262	-
ENSG00000243543	WFDC6	chr20	45534195	45539482	-	chr20	44162834	44168121	-
ENSG00000101448	EPPIN	chr20	45540625	45547752	-	chr20	44169264	44176391	-
ENSG00000158901	WFDC8	chr20	45551152	45579326	-	chr20	44179791	44207965	-
ENSG00000180205	WFDC9	chr20	45607938	45631284	-	chr20	44236577	44259923	-
ENSG00000180305	WFDC10A	chr20	45629738	45631196	+	chr20	44258377	44259835	+
ENSG00000180083	WFDC11	chr20	45648562	45670270	-	chr20	44277201	44298909	-
ENSG00000182931	WFDC10B	chr20	45684650	45705019	-	chr20	44313289	44333658	-
ENSG00000168634	WFDC13	chr20	45702037	45708817	+	chr20	44330676	44337456	+
ENSG00000149651	SPINT4	chr20	45722346	45725830	+	chr20	44350985	44354469	+
ENSG00000124116	WFDC3	chr20	45747943	45791932	-	chr20	44376582	44420571	-
ENSG00000101457	DNTTIP1	chr20	45791945	45811427	+	chr20	44420584	44440066	+
ENSG00000175063	UBE2C	chr20	45812575	45816957	+	chr20	44441214	44445596	+
ENSG00000101470	TNNC2	chr20	45823213	45833745	-	chr20	44451852	44462384	-
ENSG00000124104	SNX21	chr20	45833798	45843276	+	chr20	44462437	44471915	+
ENSG00000101473	ACOT8	chr20	45841708	45857405	-	chr20	44470347	44486044	-
ENSG00000132801	ZSWIM3	chr20	45857613	45879131	+	chr20	44486252	44507770	+
ENSG00000168612	ZSWIM1	chr20	45881226	45885266	+	chr20	44509865	44513905	+
ENSG00000149634	SPATA25	chr20	45886490	45887622	-	chr20	44515129	44516261	-
ENSG00000124257	NEURL2	chr20	45888624	45891208	-	chr20	44517263	44519847	-
ENSG00000064601	CTSA	chr20	45890143	45898949	+	chr20	44518782	44527588	+
ENSG00000100979	PLTP	chr20	45898620	45912235	-	chr20	44527259	44540874	-
ENSG00000100982	PCIF1	chr20	45934677	45948023	+	chr20	44563316	44576662	+
ENSG00000198026	ZNF335	chr20	45948652	45972206	-	chr20	44577291	44600845	-
ENSG00000100985	MMP9	chr20	46008907	46016561	+	chr20	44637546	44645200	+
ENSG00000124140	SLC12A5	chr20	46021689	46060150	+	chr20	44650328	44688789	+
ENSG00000124160	NCOA5	chr20	46060984	46089962	-	chr20	44689623	44718601	-
ENSG00000101017	CD40	chr20	46118248	46129872	+	chr20	44746887	44758511	+
ENSG00000149654	CDH22	chr20	46173736	46309009	-	chr20	44802375	44937648	-
ENSG00000080189	SLC35C2	chr20	46345979	46364458	-	chr20	44974618	44993097	-
ENSG00000062598	ELMO2	chr20	46366046	46432985	-	chr20	44994685	45061624	-
ENSG00000184617	ZNF840P	chr20	46459440	46495558	+	chr20	45088079	45124197	+
ENSG00000198185	ZNF334	chr20	46499629	46513596	-	chr20	45128268	45142235	-
ENSG00000149635	OCSTAMP	chr20	46540945	46550654	-	chr20	45169584	45179293	-
ENSG00000158296	SLC13A3	chr20	46557822	46684467	-	chr20	45186461	45313106	-
ENSG00000172315	TP53RK	chr20	46684364	46689444	-	chr20	45313003	45318083	-
ENSG00000197496	SLC2A10	chr20	46709576	46736347	+	chr20	45338215	45364986	+
ENSG00000064655	EYA2	chr20	46894586	47188844	+	chr20	45523225	45817492	+
ENSG00000101040	ZMYND8	chr20	47209213	47357804	-	chr20	45837858	45986548	-
ENSG00000124151	NCOA3	chr20	47501863	47656877	+	chr20	46130607	46285621	+
ENSG00000196562	SULF2	chr20	47656196	47786835	-	chr20	46284940	46415579	-
ENSG00000124126	PREX1	chr20	48624248	48828096	-	chr20	47240786	47444633	-
ENSG00000124198	ARFGEF2	chr20	48921710	49036693	+	chr20	47538247	47653230	+
ENSG00000124207	CSE1L	chr20	49046245	49097015	+	chr20	47662782	47713552	+
ENSG00000124214	STAU1	chr20	49113337	49188417	-	chr20	47729874	47804954	-
ENSG00000124228	DDX27	chr20	49219346	49244077	+	chr20	47835883	47860614	+
ENSG00000124201	ZNFX1	chr20	49237945	49278426	-	chr20	47854482	47894963	-
ENSG00000158445	KCNB1	chr20	49293393	49484297	-	chr20	47909930	48100834	-
ENSG00000124212	PTGIS	chr20	49503873	49568157	-	chr20	48120410	48184694	-
ENSG00000158470	B4GALT5	chr20	49632944	49713908	-	chr20	48249481	48330445	-
ENSG00000197818	SLC9A8	chr20	49812712	49892242	+	chr20	48429249	48508779	+
ENSG00000158480	SPATA2	chr20	49903390	49915550	-	chr20	48519927	48532087	-
ENSG00000124226	RNF114	chr20	49936335	49953892	+	chr20	48552872	48570429	+
ENSG00000124216	SNAI1	chr20	49982979	49988886	+	chr20	48599516	48605423	+
ENSG00000244687	UBE2V1	chr20	50081121	50115959	-	chr20	48697658	48732496	-
ENSG00000240849	PEDS1	chr20	50118253	50153754	-	chr20	48734790	48770291	-
ENSG00000172216	CEBPB	chr20	50190733	50192690	+	chr20	48807270	48809227	+
ENSG00000196396	PTPN1	chr20	50510320	50585241	+	chr20	49126857	49201778	+
ENSG00000042062	RIPOR3	chr20	50585179	50692021	-	chr20	49201716	49308558	-
ENSG00000124171	PARD6B	chr20	50731381	50756795	+	chr20	49347918	49373332	+
ENSG00000124243	BCAS4	chr20	50794893	50877178	+	chr20	49411430	49493715	+
ENSG00000101126	ADNP	chr20	50888915	50931437	-	chr20	49505452	49547974	-
ENSG00000000419	DPM1	chr20	50934851	50959140	-	chr20	49551388	49575677	-
ENSG00000124217	MOCS3	chr20	50958817	50963929	+	chr20	49575354	49580466	+
ENSG00000026559	KCNG1	chr20	51003654	51023244	-	chr20	49620191	49639781	-
ENSG00000101096	NFATC2	chr20	51386956	51562831	-	chr20	50003493	50179370	-
ENSG00000054793	ATP9A	chr20	51596513	51768390	-	chr20	50213052	50384929	-
ENSG00000101115	SALL4	chr20	51782330	51802521	-	chr20	50398869	50419060	-
ENSG00000020256	ZFP64	chr20	52051662	52204308	-	chr20	50668201	50820847	-
ENSG00000182463	TSHZ2	chr20	52972357	53495330	+	chr20	51588896	52111869	+
ENSG00000171940	ZNF217	chr20	53567070	53609907	-	chr20	52183609	52226446	-
ENSG00000064787	BCAS1	chr20	53936776	54070641	-	chr20	52553315	52687180	-
ENSG00000019186	CYP24A1	chr20	54153445	54173986	-	chr20	52769984	52790525	-
ENSG00000101132	PFDN4	chr20	54207816	54228052	+	chr20	52824355	52844591	+
ENSG00000101134	DOK5	chr20	54475592	54651171	+	chr20	53092131	53267710	+
ENSG00000054803	CBLN4	chr20	55997356	56005519	-	chr20	54572412	54580575	-
ENSG00000124089	MC3R	chr20	56248731	56249815	+	chr20	54823787	54824871	+
ENSG00000124098	FAM210B	chr20	56358973	56368663	+	chr20	54934029	54943719	+
ENSG00000087586	AURKA	chr20	56369381	56392566	-	chr20	54944437	54967622	-
ENSG00000101138	CSTF1	chr20	56392370	56406362	+	chr20	54967426	54981418	+
ENSG00000087589	CASS4	chr20	56412048	56460387	+	chr20	54987104	55035443	+
ENSG00000022277	RTF2	chr20	56468584	56519449	+	chr20	55043640	55094505	+
ENSG00000124091	GCNT7	chr20	56491491	56525925	-	chr20	55066547	55100981	-
ENSG00000124103	FAM209A	chr20	56517186	56526152	+	chr20	55092242	55101208	+
ENSG00000213714	FAM209B	chr20	56533245	56536520	+	chr20	55108301	55111576	+
ENSG00000087510	TFAP2C	chr20	56629305	56639283	+	chr20	55204361	55214339	+
ENSG00000101144	BMP7	chr20	57168752	57266641	-	chr20	55743808	55841697	-
ENSG00000054796	SPO11	chr20	57329802	57343994	+	chr20	55904858	55919050	+
ENSG00000101146	RAE1	chr20	57351222	57379211	+	chr20	55926278	55954267	+
ENSG00000132819	RBM38	chr20	57391395	57409333	+	chr20	55966451	55984389	+
ENSG00000124097	HMGB1P1	chr20	57487958	57495366	-	chr20	56063014	56070422	-
ENSG00000124092	CTCFL	chr20	57495965	57525652	-	chr20	56071021	56100708	-
ENSG00000124253	PCK1	chr20	57560572	57568121	+	chr20	56135628	56143177	+
ENSG00000124256	ZBP1	chr20	57603574	57620576	-	chr20	56178630	56195632	-
ENSG00000124225	PMEPA1	chr20	57648391	57711536	-	chr20	56223447	56286592	-
ENSG00000124237	CIMIP1	chr20	58150901	58161150	+	chr20	56725957	56736206	+
ENSG00000124227	ANKRD60	chr20	58216125	58228653	-	chr20	56791181	56803709	-
ENSG00000124209	RAB22A	chr20	58309705	58367507	+	chr20	56884761	56942563	+
ENSG00000124164	VAPB	chr20	58389118	58451101	+	chr20	56964174	57026157	+
ENSG00000198768	APCDD1L	chr20	58458451	58515399	-	chr20	57033507	57090455	-
ENSG00000124222	STX16	chr20	58651260	58679526	+	chr20	57226316	57254582	+
ENSG00000215440	NPEPL1	chr20	58689130	58719238	+	chr20	57264186	57294294	+
ENSG00000087460	GNAS	chr20	58839717	58911192	+	chr20	57414772	57486247	+
ENSG00000101158	NELFCD	chr20	58981207	58995133	+	chr20	57556262	57570188	+
ENSG00000101160	CTSZ	chr20	58985685	59008238	-	chr20	57560740	57583293	-
ENSG00000101162	TUBB1	chr20	59019428	59026654	+	chr20	57594483	57601709	+
ENSG00000124172	ATP5F1E	chr20	59025474	59032358	-	chr20	57600529	57607413	-
ENSG00000101166	PRELID3B	chr20	59033142	59042897	-	chr20	57608197	57617952	-
ENSG00000124203	ZNF831	chr20	59123380	59259113	+	chr20	57698435	57834168	+
ENSG00000124205	EDN3	chr20	59300414	59325992	+	chr20	57875469	57901047	+
ENSG00000087495	PHACTR3	chr20	59577494	59847711	+	chr20	58152549	58422766	+
ENSG00000196074	SYCP2	chr20	59863563	59933655	-	chr20	58438618	58508710	-
ENSG00000196227	FAM217B	chr20	59933642	59949387	+	chr20	58508697	58524442	+
ENSG00000132825	PPP1R3D	chr20	59936662	59940305	-	chr20	58511717	58515360	-
ENSG00000124215	CDH26	chr20	59958422	60034011	+	chr20	58533477	58609066	+
ENSG00000179242	CDH4	chr20	61252260	61940617	+	chr20	59827316	60515673	+
ENSG00000130699	TAF4	chr20	61953468	62065881	-	chr20	60528524	60640937	-
ENSG00000149657	LSM14B	chr20	62122443	62136728	+	chr20	60697499	60711784	+
ENSG00000101182	PSMA7	chr20	62136727	62143452	-	chr20	60711783	60718508	-
ENSG00000184402	SS18L1	chr20	62143768	62182514	+	chr20	60718824	60757570	+
ENSG00000101181	MTG2	chr20	62183024	62203568	+	chr20	60758080	60778624	+
ENSG00000101180	HRH3	chr20	62214959	62220303	-	chr20	60790015	60795359	-
ENSG00000130703	OSBPL2	chr20	62231921	62296213	+	chr20	60806977	60871269	+
ENSG00000130706	ADRM1	chr20	62302065	62308867	+	chr20	60877121	60883923	+
ENSG00000130702	LAMA5	chr20	62307954	62367312	-	chr20	60883010	60942368	-
ENSG00000171858	RPS21	chr20	62385947	62388534	+	chr20	60961003	60963590	+
ENSG00000149679	CABLES2	chr20	62388629	62407303	-	chr20	60963685	60982359	-
ENSG00000130701	RBBP8NL	chr20	62410236	62427539	-	chr20	60985292	61002595	-
ENSG00000130700	GATA5	chr20	62463480	62476040	-	chr20	61038536	61051096	-
ENSG00000101187	SLCO4A1	chr20	62642439	62685785	+	chr20	61273791	61317137	+
ENSG00000101188	NTSR1	chr20	62708835	62762771	+	chr20	61340187	61394123	+
ENSG00000101189	MRGBP	chr20	62796472	62801729	+	chr20	61427824	61433081	+
ENSG00000060491	OGFR	chr20	62804177	62814000	+	chr20	61435529	61445352	+
ENSG00000092758	COL9A3	chr20	62816243	62841163	+	chr20	61447595	61472515	+
ENSG00000101190	TCFL5	chr20	62841004	62861825	-	chr20	61472356	61493177	-
ENSG00000101191	DIDO1	chr20	62877737	62937952	-	chr20	61509089	61569304	-
ENSG00000101193	GID8	chr20	62937059	62948589	+	chr20	61568411	61579941	+
